number,name,status
3,3,Withdrawn
102,102,Superseded
3150,3150,Deferred
674,674,Deferred
3124,3124,Deferred
568,568,Deferred
558,558,Deferred
556,556,Deferred
547,547,Deferred
536,536,Deferred
535,535,Deferred
534,534,Deferred
533,533,Deferred
501,501,Deferred
491,491,Deferred
532,532,Deferred
505,505,Deferred
499,499,Deferred
447,447,Deferred
423,423,Deferred
444,444,Deferred
419,419,Deferred
368,368,Deferred
407,407,Deferred
337,337,Deferred
403,403,Deferred
400,400,Deferred
316,316,Deferred
323,323,Deferred
312,312,Deferred
286,286,Deferred
280,280,Deferred
269,269,Deferred
267,267,Deferred
233,233,Deferred
222,222,Deferred
213,213,Deferred
219,219,Deferred
3100,3100,Final
3003,3003,Final
3002,3002,Final
3000,3000,Final
545,545,Final
541,541,Final
8001,8001,Final
3099,3099,Final
537,537,Final
494,494,Final
470,470,Final
464,464,Final
512,512,Final
478,478,Final
449,449,Final
438,438,Superseded
429,429,Final
385,385,Final
404,404,Final
398,398,Final
392,392,Final
375,375,Final
373,373,Final
374,374,Final
347,347,Final
320,320,Final
361,361,Final
360,360,Final
356,356,Final
283,283,Final
226,226,Final
251,251,Final
200,200,Final
160,160,Final
3156,3156,Final
3155,3155,Final
3154,3154,Final
3149,3149,Final
3148,3148,Final
3151,3151,Final
3147,3147,Final
3144,3144,Final
3141,3141,Final
3138,3138,Final
3137,3137,Final
3135,3135,Final
3134,3134,Final
3132,3132,Final
3131,3131,Final
3129,3129,Final
3119,3119,Final
3127,3127,Final
3118,3118,Final
3123,3123,Final
3120,3120,Final
3116,3116,Final
3115,3115,Final
3114,3114,Final
3112,3112,Final
3111,3111,Final
3110,3110,Final
3108,3108,Final
3113,3113,Final
3109,3109,Final
3107,3107,Final
3106,3106,Final
721,721,Final
3105,3105,Final
3104,3104,Final
3102,3102,Final
715,715,Final
3101,3101,Final
706,706,Final
697,697,Final
689,689,Final
682,682,Final
670,670,Final
660,660,Final
657,657,Final
656,656,Final
652,652,Final
629,629,Final
627,627,Final
626,626,Final
644,644,Final
643,643,Final
628,628,Final
624,624,Final
623,623,Final
621,621,Final
618,618,Final
616,616,Final
614,614,Final
597,597,Final
610,610,Final
600,600,Final
594,594,Final
592,592,Final
587,587,Final
585,585,Final
584,584,Final
573,573,Final
574,574,Final
570,570,Final
572,572,Final
567,567,Final
566,566,Final
565,565,Final
564,564,Final
562,562,Final
553,553,Final
561,561,Final
557,557,Final
530,530,Final
552,552,Final
529,529,Final
540,540,Final
539,539,Final
528,528,Final
527,527,Final
538,538,Final
525,525,Final
524,524,Final
523,523,Final
520,520,Final
519,519,Final
518,518,Final
517,517,Final
526,526,Final
515,515,Final
503,503,Final
495,495,Final
493,493,Final
506,506,Final
508,508,Final
498,498,Final
492,492,Final
477,477,Final
489,489,Final
485,485,Final
484,484,Final
488,488,Final
479,479,Final
487,487,Final
486,486,Final
476,476,Final
475,475,Final
471,471,Final
468,468,Final
466,466,Final
465,465,Final
461,461,Final
456,456,Final
454,454,Final
453,453,Final
451,451,Final
450,450,Final
448,448,Final
446,446,Final
445,445,Final
443,443,Final
442,442,Final
441,441,Final
440,440,Final
436,436,Final
435,435,Final
428,428,Final
427,427,Final
425,425,Final
424,424,Final
421,421,Final
420,420,Final
418,418,Final
414,414,Final
412,412,Final
417,417,Final
415,415,Final
409,409,Final
405,405,Final
397,397,Final
393,393,Final
384,384,Final
383,383,Final
391,391,Final
389,389,Final
378,378,Final
376,376,Final
372,372,Final
371,371,Final
366,366,Final
362,362,Final
380,380,Final
370,370,Final
358,358,Final
353,353,Final
352,352,Final
343,343,Final
342,342,Final
357,357,Final
341,341,Final
338,338,Final
318,318,Final
331,331,Final
311,311,Final
328,328,Final
327,327,Final
309,309,Final
324,324,Final
322,322,Final
308,308,Final
307,307,Final
305,305,Final
302,302,Final
301,301,Final
293,293,Final
292,292,Final
289,289,Final
282,282,Final
278,278,Final
277,277,Final
273,273,Final
264,264,Final
285,285,Final
279,279,Final
274,274,Final
263,263,Final
261,261,Final
255,255,Final
253,253,Final
252,252,Final
250,250,Final
260,260,Final
238,238,Final
237,237,Final
236,236,Final
235,235,Final
234,234,Final
232,232,Final
230,230,Final
229,229,Final
227,227,Final
223,223,Final
221,221,Final
218,218,Final
217,217,Final
214,214,Final
208,208,Final
205,205,Final
207,207,Final
203,203,Final
202,202,Final
201,201,Final
100,100,Final
727,727,Draft
723,723,Draft
726,726,Draft
725,725,Draft
718,718,Draft
720,720,Draft
705,705,Draft
712,712,Draft
711,711,Draft
710,710,Draft
703,703,Draft
722,722,Draft
696,696,Draft
694,694,Draft
702,702,Draft
679,679,Draft
661,661,Draft
671,671,Draft
659,659,Draft
667,667,Draft
653,653,Draft
639,639,Draft
638,638,Draft
603,603,Draft
588,588,Draft
480,480,Draft
3121,3121,Accepted
714,714,Accepted
709,709,Accepted
701,701,Accepted
554,554,Draft
467,467,Draft
700,700,Accepted
699,699,Accepted
698,698,Accepted
695,695,Accepted
692,692,Accepted
691,691,Accepted
688,688,Accepted
687,687,Accepted
686,686,Accepted
685,685,Accepted
684,684,Accepted
683,683,Accepted
681,681,Accepted
680,680,Accepted
678,678,Accepted
673,673,Accepted
675,675,Accepted
669,669,Accepted
668,668,Accepted
658,658,Accepted
655,655,Accepted
654,654,Accepted
649,649,Accepted
647,647,Accepted
646,646,Accepted
634,634,Accepted
632,632,Accepted
625,625,Accepted
617,617,Accepted
615,615,Accepted
613,613,Accepted
612,612,Accepted
604,604,Accepted
593,593,Accepted
591,591,Accepted
590,590,Accepted
589,589,Accepted
586,586,Accepted
578,578,Accepted
563,563,Accepted
560,560,Accepted
708,708,Provisional
8104,8104,Active
8103,8103,Final
544,544,Accepted
458,458,Accepted
8102,8102,Final
8100,8100,Final
8016,8016,Accepted
8101,8101,Final
8002,8002,Final
8000,8000,Final
3333,3333,Final
801,801,Active
719,719,Active
693,693,Active
672,672,Active
664,664,Active
636,636,Final
635,635,Final
630,630,Final
619,619,Active
596,596,Active
514,514,Active
607,607,Final
602,602,Accepted
579,579,Final
483,483,Final
482,482,Final
457,457,Final
452,452,Final
434,434,Active
430,430,Final
399,399,Final
394,394,Active
333,333,Final
569,569,Active
291,291,Final
290,290,Active
287,287,Active
249,249,Final
272,272,Final
5,5,Active
257,257,Active
4,4,Active
2,2,Active
